Feature,Importance
rst_count,0.1854715098232059
urg_count,0.12745393976772698
Magnitue,0.0818139031013011
Std,0.06439737489326175
Variance,0.06364472440228951
Radius,0.053195062948365936
AVG,0.0488872326141415
flow_duration,0.047285473121989635
Max,0.04190057749328013
Tot size,0.04029450462027373
Header_Length,0.03936968828446735
Covariance,0.03845520972492991
ack_flag_number,0.030376377383862143
Tot sum,0.021592303682572127
Weight,0.019515489825775716
IAT,0.019256668911025333
Duration,0.01844102143502815
Min,0.014442230060605295
Number,0.014225624791811466
Protocol Type,0.007577372841841505
HTTPS,0.005643610155465665
TCP,0.004084422887936752
syn_count,0.002993884706699782
Rate,0.00248477981798978
Srate,0.002325208313739932
fin_count,0.001623725641929202
HTTP,0.0006322225531670096
ICMP,0.0005917319776383988
ack_count,0.0005767024248748494
psh_flag_number,0.00048096302429356954
syn_flag_number,0.00047106595052690475
UDP,0.0003237015456395508
rst_flag_number,5.791016645970109e-05
DNS,4.038255194794977e-05
fin_flag_number,3.346766918748286e-05
IPv,2.4321731435403378e-05
ARP,9.620658303639098e-06
LLC,5.9884950093529226e-06
cwr_flag_number,0.0
ece_flag_number,0.0
Drate,0.0
DHCP,0.0
Telnet,0.0
SMTP,0.0
SSH,0.0
IRC,0.0
